private_uri,label,type,wikidata_uri,confidence
http://moviekg.local/resource/person_1395183,Chloé Zhao,Director,http://www.wikidata.org/entity/Q21078321,1.0
http://moviekg.local/resource/person_113901,Michael Jelenic,Director,http://www.wikidata.org/entity/Q5394838,0.5
http://moviekg.local/resource/person_76422,Ric Roman Waugh,Director,http://www.wikidata.org/entity/Q23697700,1.0
http://moviekg.local/resource/person_3405582,Tomas Gallardo,Director,http://www.wikidata.org/entity/Q47074307,0.5
http://moviekg.local/resource/person_65734,Luke Greenfield,Director,http://www.wikidata.org/entity/Q322842,1.0
http://moviekg.local/resource/person_81849,Pedro Olea,Director,http://www.wikidata.org/entity/Q1398387,1.0
http://moviekg.local/resource/person_1547457,Mikhail Vaynberg,Director,http://www.wikidata.org/entity/Q58240594,0.8
http://moviekg.local/resource/person_80526,Gray Hofmeyr,Director,http://www.wikidata.org/entity/Q5598191,1.0
http://moviekg.local/resource/person_108,Peter Jackson,Director,http://www.wikidata.org/entity/Q4465,1.0
http://moviekg.local/resource/person_1272981,Ante Novakovic,Director,http://www.wikidata.org/entity/Q120478241,0.5
http://moviekg.local/resource/person_26458,Kevin Williamson,Director,http://www.wikidata.org/entity/Q100450801,0.5
http://moviekg.local/resource/person_1286723,Tatsuya Yoshihara,Director,http://www.wikidata.org/entity/Q89563799,0.5
http://moviekg.local/resource/person_1621115,Marcer Andersen,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_859754,Bart Layton,Director,http://www.wikidata.org/entity/Q51241374,0.5
http://moviekg.local/resource/person_143059,Patrick Hughes,Director,http://www.wikidata.org/entity/Q3369526,1.0
http://moviekg.local/resource/person_1313091,Zvonimir Berković,Director,http://www.wikidata.org/entity/Q4084936,1.0
http://moviekg.local/resource/person_153323,Allen H. Miner,Director,http://www.wikidata.org/entity/Q106270873,0.5
http://moviekg.local/resource/person_144798,Simon Cellan Jones,Director,http://www.wikidata.org/entity/Q7518443,1.0
http://moviekg.local/resource/person_793,Luis Buñuel,Director,http://www.wikidata.org/entity/Q51545,0.5
http://moviekg.local/resource/person_585435,Saba Kailash,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_8296,Christophe Gans,Director,http://www.wikidata.org/entity/Q950697,1.0
http://moviekg.local/resource/person_608,Hayao Miyazaki,Director,http://www.wikidata.org/entity/Q55400,1.0
http://moviekg.local/resource/person_1290942,Benni Diez,Director,http://www.wikidata.org/entity/Q108538529,0.8
http://moviekg.local/resource/person_525,Christopher Nolan,Director,http://www.wikidata.org/entity/Q25191,0.5
http://moviekg.local/resource/person_155267,Christopher Miller,Director,http://www.wikidata.org/entity/Q112395897,0.5
http://moviekg.local/resource/person_1197381,Martin Schreier,Director,http://www.wikidata.org/entity/Q43536128,1.0
http://moviekg.local/resource/person_56533,Claudio Fäh,Director,http://www.wikidata.org/entity/Q5129366,1.0
http://moviekg.local/resource/person_4762,Paul Thomas Anderson,Director,http://www.wikidata.org/entity/Q25132,0.5
http://moviekg.local/resource/person_2836102,Martin Melnick,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_1739102,Domingo González,Director,http://www.wikidata.org/entity/Q42381273,0.5
http://moviekg.local/resource/person_23430,Timur Bekmambetov,Director,http://www.wikidata.org/entity/Q344854,1.0
http://moviekg.local/resource/person_66681,Matt Bettinelli-Olpin,Director,http://www.wikidata.org/entity/Q6788348,1.0
http://moviekg.local/resource/person_1513675,Arthur Berthelet,Director,http://www.wikidata.org/entity/Q2864993,1.0
http://moviekg.local/resource/person_3405585,Damien Samper,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_18878,Rob Cohen,Director,http://www.wikidata.org/entity/Q503966,1.0
http://moviekg.local/resource/person_225586,Michael M. Scott,Director,http://www.wikidata.org/entity/Q102209374,0.8
http://moviekg.local/resource/person_45928,Marc Klasfeld,Director,http://www.wikidata.org/entity/Q6755668,0.5
http://moviekg.local/resource/person_1895,Carl Reiner,Director,http://www.wikidata.org/entity/Q287793,0.5
